departamento,población
Amazonas,48144
Antioquia,2427129
Arauca,85585
Atlántico,1206319
Bolívar,973045
Boyacá,172548
Caldas,434403
Caquetá,168346
Casanare,168433
Cauca,318059
Chocó,129237
Córdoba,490935
Cundinamarca,7412566
Cesar,490075
Guainía,31514
Guaviare,52815
Huila,357392
La Guajira,188014
Magdalena,499192
Meta,531275
Nariño,392930
Norte de Santander,711715
Putumayo,56398
Quindío,295208
Risaralda,467269
Archipiélago de San Andrés, Providencia y Santa Catalina,55291
Santander,581130
Sucre,277773
Tolima,529635
Valle del Cauca,2227642
Vaupés,29850
Vichada,20936
